List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew,Blowout
3499,SY-128GRT,6.72E+11,SYS-1028GR-TR,Supermicro,1U,Component,Server,Server Barebone,Supermicro SuperServer SYS-1028GR-TR Dual LGA2011 1000W/1600W 1U Rackmount Server Barebone System (Black),1692.27,1269.2025,1,10,413.0675,Recurring,01-Jan-19,L,48,0.101123596,0.012195122,81.99999967
286,SSDPE7KX04,7.36E+11,SSDPE7KX040T701.,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P4501 Series SSDPE7KX040T701 4TB 2.5 inch PCI-Express 3.1 x4 Solid State Drive (TLC),1843.98,1382.985,1,2.5,458.495,Recurring,01-Jan-19,L,0.26,0.101123596,0.012195122,81.99999967
3422,MB-R281NO0,8.90E+11,R281-NO0,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE R281-NO0 Dual LGA3647/ Intel C621 Express/ DDR4/ V&3GbE 2U Rackmount Server Barebone System,3874.5,2905.875,1,10,958.625,Recurring,01-Jan-19,L,58,0.101123596,0.012195122,81.99999967
1063,MB-H23NH60,8.90E+11,H23N-H60,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE H23N-H60 Four Node Dual LGA2011-3/ Intel C612/ DDR4/ V&2GbE 2U Rackmount Server Barebone System,4715,3536.25,1,10,1168.75,Recurring,01-Jan-19,L,84,0.101123596,0.012195122,81.99999967
3703,SYN-FS2017,8.47E+11,FS2017,Synology,Enterprise,Component,NAS / DAS / SAN,NAS,Synology FlashStation FS2017 24-bay Rackmount NAS for Enterprises,6667.62,5000.715,1,10,1656.905,Recurring,01-Jan-19,L,49,0.101123596,0.012195122,81.99999967
1059,MB-H281PE0,8.90E+11,H281-PE0,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE H281-PE0 Four Node Dual LGA3647/ Intel C621/ DDR4/ V&3GbE 2U Rackmount Server Barebone System,7021.25,5265.9375,1,10,1745.3125,Recurring,01-Jan-19,L,70,0.101123596,0.012195122,81.99999967
2848,MO-SI983,8.41E+11,EMPEROR HATE SI-983,AULA,Mouse,Component,Input & Output Device,Mouse,AULA Emperor Hate SI-983 Wired USB Optical Gaming Mouse w/ 400-2000DPI,27.67,20.7525,91,2.5,4.4175,Recurring,01-Jan-19,Y,0.31,0.634275837,1.111111111,81.90000001
905,ST10000VN4,7.64E+11,ST10000VN0004,Seagate,SATA,Component,Hard Drive,Enterprise HDD,Seagate IronWolf NAS ST10000VN0004 10TB 7200RPM SATA 6.0 GB/s 256MB Hard Drive (3.5 inch),306.47,229.8525,445,2.5,74.1175,Recurring,01-Jan-19,Y,1.55,0.555485419,5.444444444,81.73469388
1328,INT-42BFSR,7.36E+11,E10G42BFSR,Intel,Others,Component,Networking,Others,"Intel E10G42BFSR 10 Gigabit Ethernet Dual Port PCI-Express Server Adapter, Retail",511.47,383.6025,4,2.5,125.3675,Recurring,01-Jan-19,Y,2,0.699438202,0.049180328,81.33333312
1921,EV-650GPX1,8.43E+11,120-GP-0650-X1,EVGA,Desktop,Component,Power Supply,Desktop,EVGA SuperNOVA 650 G1+ 120-GP-0650-X1 650W 80 PLUS Gold ATX12V & EPS12V Power Supply,109.16,81.87,79,2.5,24.79,Recurring,01-Jan-19,Y,7,0.738017352,0.973684211,81.1351351
2475,FAN-CLP503,8.41E+11,CL-P0503,Thermaltake,Socket FM2,Component,Fan & Heatsink,CPU Fan & Heatsink,Thermaltake CL-P0503 CPU Cooler For AMD Socket FM2/FM1/AM3+/AM3/AM2+/AM2/K8,7.17,2.17,84,0,5,Recurring,01-Jan-19,Y,0.68,0.615971108,1.037037037,81
1768,LG-27BK43H,7.19E+11,27BK430H-B,LG Electronics,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"LG Electronics 27BK430H-B 27 inch 5,000,000:1 5ms HDMI/VGA LED LCD Monitor (Black)",178.35,133.7625,81,3.5,41.0875,Recurring,01-Jan-19,Y,14,0.583992232,1,81
1513,FS-MFI3IN2,6.01E+11,AM001032,Foxsun,USB Cable,Component,Cable,USB Cable,"Foxsun AM001032 Multi USB Charging Cable, 6.6 FT/2M 3 in 1 Multiple USB Charger Cable with 8Pin Lightning /USB Type C/Micro USB Connector for iPhone, Samsung, LG, Nexus Smartphones and More, MFI Certified (Black)",16.86,12.645,77,2.5,1.715,Recurring,01-Jan-19,Y,0.15,0.607471181,0.950617284,81
3888,CA-H500W1,8.16E+11,CA-H500B-W1,NZXT,ATX Mid Tower,Component,Case,Computer Case,NZXT H500 No Power Supply ATX Mid Tower (Matte White),73.8,55.35,77,3.5,14.95,Recurring,01-Jan-19,Y,18,0.584415584,0.950617284,81
4120,CA-M-BKO-L,8.43E+11,FD-CA-MESH-C-BKO-TGL,Fractal Design,ATX Mid Tower,Component,Case,Computer Case,Fractal Design Meshify C - TG No Power Supply ATX Mid Tower ,100.45,75.3375,77,3.5,21.6125,Recurring,01-Jan-19,Y,17,0.627170582,0.950617284,81
1423,SYN-KS1317,8.47E+11,RKS1317,Synology,Accessory,Hardware & Software,Server & Workstation,Accessory,Synology RKS1317 Sliding Rail Kit,101.99,76.4925,75,2.5,22.9975,Recurring,01-Jan-19,Y,8.42,0.604194757,0.925925926,80.99999999
